Subject_ID,Session,Block_Type,Trial_Num,Stimulus,Angle,Mirror_Condition,SOA,Response_Key,ACC,RT,Flag,Early_Key,Repeated_Trial,Practice_Round,Timestamp,Condition,StimType
W,1,O,6,G,0,Normal,,j,1,980.0,0,0,0,,2026-05-10T12:58:45.643Z,G_O,Letter
W,1,O,7,R,0,Backward,,f,1,1013.0,0,0,0,,2026-05-10T12:58:48.781Z,R_O,Letter
W,1,O,9,J,240,Backward,,f,1,1050.0,0,0,0,,2026-05-10T12:58:56.517Z,J_O,Letter
W,1,O,10,G,180,Backward,,f,1,2440.0,0,0,0,,2026-05-10T12:59:01.094Z,G_O,Letter
W,1,O,11,G,60,Backward,,f,1,892.0,0,0,0,,2026-05-10T12:59:04.115Z,G_O,Letter
W,1,O,12,J,120,Backward,,f,1,1439.0,0,0,0,,2026-05-10T12:59:07.690Z,J_O,Letter
W,1,O,14,J,180,Normal,,j,1,2381.0,0,0,0,,2026-05-10T12:59:15.086Z,J_O,Letter
W,1,O,15,J,300,Normal,,j,1,1102.0,0,0,0,,2026-05-10T12:59:18.314Z,J_O,Letter
W,1,O,16,G,0,Backward,,f,1,1223.0,0,0,0,,2026-05-10T12:59:21.658Z,G_O,Letter
W,1,O,17,G,120,Normal,,j,1,1027.0,0,0,0,,2026-05-10T12:59:24.821Z,G_O,Letter
W,1,O,19,G,120,Backward,,f,1,1345.0,0,0,0,,2026-05-10T12:59:31.807Z,G_O,Letter
W,1,O,23,R,240,Normal,,j,1,703.0,0,0,0,,2026-05-10T12:59:44.606Z,R_O,Letter
W,1,O,24,G,240,Backward,,f,1,1006.0,0,0,0,,2026-05-10T12:59:47.742Z,G_O,Letter
W,1,O,28,R,300,Normal,,j,1,707.0,0,0,0,,2026-05-10T12:59:59.724Z,R_O,Letter
W,1,O,29,R,240,Backward,,f,1,1020.0,0,0,0,,2026-05-10T13:00:02.890Z,R_O,Letter
W,1,O,30,J,60,Backward,,f,1,851.0,0,0,0,,2026-05-10T13:00:05.879Z,J_O,Letter
W,1,O,32,J,180,Backward,,f,1,1755.0,0,0,0,,2026-05-10T13:00:13.050Z,J_O,Letter
W,1,O,33,J,300,Backward,,f,1,795.0,0,0,0,,2026-05-10T13:00:15.989Z,J_O,Letter
W,1,O,35,J,60,Normal,,j,1,808.0,0,0,0,,2026-05-10T13:00:21.955Z,J_O,Letter
W,1,O,39,J,240,Normal,,j,1,1841.0,0,0,0,,2026-05-10T13:00:34.570Z,J_O,Letter
W,1,O,40,G,240,Normal,,j,1,827.0,0,0,0,,2026-05-10T13:00:37.521Z,G_O,Letter
W,1,O,42,R,180,Normal,,j,1,1615.0,0,0,0,,2026-05-10T13:00:44.395Z,R_O,Letter
W,1,O,43,G,60,Normal,,j,1,693.0,0,0,0,,2026-05-10T13:00:47.218Z,G_O,Letter
W,1,O,45,R,300,Backward,,f,1,993.0,0,0,0,,2026-05-10T13:00:53.245Z,R_O,Letter
W,1,O,49,G,300,Backward,,f,1,776.0,0,0,0,,2026-05-10T13:01:04.881Z,G_O,Letter
W,1,O,51,G,180,Normal,,j,1,1322.0,0,0,0,,2026-05-10T13:01:11.274Z,G_O,Letter
W,1,O,52,J,120,Normal,,j,1,774.0,0,0,0,,2026-05-10T13:01:14.182Z,J_O,Letter
W,1,O,53,R,180,Backward,,j,0,2726.0,0,0,0,,2026-05-10T13:01:19.035Z,R_O,Letter
W,1,O,56,R,120,Normal,,j,1,810.0,0,0,0,,2026-05-10T13:01:28.420Z,R_O,Letter
W,1,O,62,J,0,Backward,,f,1,826.0,0,0,0,,2026-05-10T13:01:45.474Z,J_O,Letter
W,1,O,63,R,60,Backward,,f,1,763.0,0,0,0,,2026-05-10T13:01:48.373Z,R_O,Letter
W,1,O,66,R,120,Backward,,f,1,1062.0,0,0,0,,2026-05-10T13:01:57.752Z,R_O,Letter
W,1,O,67,R,60,Normal,,j,1,677.0,0,0,0,,2026-05-10T13:02:00.557Z,R_O,Letter
W,1,O,70,J,0,Normal,,j,1,732.0,0,0,0,,2026-05-10T13:02:11.086Z,J_O,Letter
W,1,O,72,G,300,Normal,,j,1,721.0,0,0,0,,2026-05-10T13:02:18.244Z,G_O,Letter
W,1,B,2,J,300,Backward,700.0,f,1,1080.0,0,0,0,,2026-05-13T13:47:40.221Z,J_B,Letter
W,1,B,3,J,0,Normal,1000.0,j,1,721.0,0,0,0,,2026-05-13T13:47:46.108Z,J_B,Letter
W,1,B,4,R,0,Backward,700.0,f,1,939.0,0,0,0,,2026-05-13T13:47:51.899Z,R_B,Letter
W,1,B,5,G,60,Backward,1000.0,f,1,490.0,0,0,0,,2026-05-13T13:47:57.527Z,G_B,Letter
W,1,B,6,G,240,Normal,400.0,j,1,751.0,0,0,0,,2026-05-13T13:48:02.819Z,G_B,Letter
W,1,B,7,R,180,Backward,100.0,j,0,1108.0,0,0,0,,2026-05-13T13:48:08.188Z,R_B,Letter
W,1,B,10,G,0,Backward,400.0,f,1,586.0,0,0,0,,2026-05-13T13:48:24.473Z,G_B,Letter
W,1,B,13,G,300,Normal,700.0,j,1,1307.0,0,0,0,,2026-05-13T13:48:42.590Z,G_B,Letter
W,1,B,14,J,120,Backward,1000.0,f,1,1378.0,0,0,0,,2026-05-13T13:48:49.114Z,J_B,Letter
W,1,B,16,R,300,Backward,700.0,f,1,868.0,0,0,0,,2026-05-13T13:49:00.396Z,R_B,Letter
W,1,B,21,G,240,Normal,100.0,j,1,1019.0,0,0,0,,2026-05-13T13:49:29.101Z,G_B,Letter
W,1,B,22,R,300,Normal,100.0,j,1,760.0,0,0,0,,2026-05-13T13:49:34.122Z,R_B,Letter
W,1,B,24,R,0,Backward,100.0,f,1,719.0,0,0,0,,2026-05-13T13:49:44.177Z,R_B,Letter
W,1,B,25,G,300,Normal,1000.0,j,1,507.0,0,0,0,,2026-05-13T13:49:49.837Z,G_B,Letter
W,1,B,28,J,60,Backward,700.0,f,1,825.0,0,0,0,,2026-05-13T13:50:07.674Z,J_B,Letter
